,nombre,fecha_nac,cargo,partido,status,inicio,fin,primer_apellido,segundo_apellido,primer_nombre,segundo_nombre,sexo,legislatura,fecha_inicio_l,fecha_fin_l,legislaturas_agrupadas
97,"KORZENIAK FUCKS, JOSE",1933-02-13,Senador,Frente Amplio,Titular,2005,2008,KORZENIAK,FUCKS,JOSE,,1,46,2005-02-15,2010-02-14,1985-2025
98,"LACALLE POU, LUIS ALBERTO",1973-08-11,Diputado,Partido Nacional,Titular,2005,2010,LACALLE,POU,LUIS,ALBERTO,1,46,2005-02-15,2010-02-14,1985-2025
99,"LAFLUF HEBEICH, OMAR MARIA",1954-07-03,Diputado,Partido Nacional,Titular,2005,2005,LAFLUF,HEBEICH,OMAR,MARIA,1,46,2005-02-15,2010-02-14,1985-2025
100,"LAGUARDA FISCHETTI, MANUEL",1949-02-13,Senador,Frente Amplio,Suplente,2006,2007,LAGUARDA,FISCHETTI,MANUEL,,1,46,2005-02-15,2010-02-14,1985-2025
101,"LAMBROSQUINI BERTOLELLI, MARIANELA BEATRIZ",1965-02-19,Diputado,Frente Amplio,Suplente,2005,2009,LAMBROSQUINI,BERTOLELLI,MARIANELA,BEATRIZ,0,46,2005-02-15,2010-02-14,1985-2025
102,"LANDONI TEPERINO, DANIEL ALBERTO",1966-12-17,Diputado,Partido Nacional,Suplente,2005,2005,LANDONI,TEPERINO,DANIEL,ALBERTO,1,46,2005-02-15,2010-02-14,1985-2025
103,"LAPAZ CORREA, GUSTAVO JAVIER",1953-08-24,Senador,Partido Nacional,Titular,2005,2010,LAPAZ,CORREA,GUSTAVO,JAVIER,1,46,2005-02-15,2010-02-14,1985-2025
104,"LARA GILENE, JULIO CESAR",1953-07-23,Senador,Partido Nacional,Titular,2005,2010,LARA,GILENE,JULIO,CESAR,1,46,2005-02-15,2010-02-14,1985-2025
105,"LARRANAGA FRAGA, JORGE WASHINGTON",1956-08-08,Senador,Partido Nacional,Titular,2005,2009,LARRANAGA,FRAGA,JORGE,WASHINGTON,1,46,2005-02-15,2010-02-14,1985-2025
106,"LEGLISE APEZTEGUIA, LUIS MARIA",1957-10-26,Senador,Partido Nacional,Suplente,2005,2008,LEGLISE,APEZTEGUIA,LUIS,MARIA,1,46,2005-02-15,2010-02-14,1985-2025
107,"LERETE SALCEDO, ORLANDO DARIO",1945-03-24,Diputado,Partido Nacional,Suplente,2005,2010,LERETE,SALCEDO,ORLANDO,DARIO,1,46,2005-02-15,2010-02-14,1985-2025
108,"LESCANO FRASCHINI, HECTOR CARLOS",1948-02-13,Senador,Frente Amplio,Titular,2005,2005,LESCANO,FRASCHINI,HECTOR,CARLOS,1,46,2005-02-15,2010-02-14,1985-2025
109,"LEV PONIACHYK, LEON",1944-07-28,Senador,Frente Amplio,Suplente,2005,2005,LEV,PONIACHYK,LEON,,1,46,2005-02-15,2010-02-14,1985-2025
110,"ALONSO TELLECHEA, ALVARO",1955-03-11,Diputado,Partido Nacional,Titular,2005,2010,ALONSO,TELLECHEA,ALVARO,,1,46,2005-02-15,2010-02-14,1985-2025
111,"ALVAREZ BOGLIOLO, ALFREDO JOSE",1959-10-31,Diputado,Partido Nacional,Suplente,2005,2009,ALVAREZ,BOGLIOLO,ALFREDO,JOSE,1,46,2005-02-15,2010-02-14,1985-2025
112,"ALVAREZ LOPEZ, PABLO EMILIANO",1978-03-14,Senador,Frente Amplio,Suplente,2010,2010,ALVAREZ,LOPEZ,PABLO,EMILIANO,1,46,2005-02-15,2010-02-14,1985-2025
112,"ALVAREZ LOPEZ, PABLO EMILIANO",1978-03-14,Diputado,Frente Amplio,Suplente,2010,2010,ALVAREZ,LOPEZ,PABLO,EMILIANO,1,46,2005-02-15,2010-02-14,1985-2025
