"primer_apellido","segundo_apellido","primer_nombre","segundo_nombre","fecha_nac","id_politico","agregado","id_fuente","fecha_desde","fecha_hasta","formas_de_escribir"
"VENTURA",NA,"FABIO",NA,1971-05-16,3045,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"DE LEON","LEON","MARGOT",NA,NA,3046,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"AZOR",NA,"RAMIRO",NA,1970-11-26,3047,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"SIMOIS",NA,"JOSE",NA,1959-09-06,3048,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"ALVAREZ",NA,"MIGUEL",NA,NA,3049,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"AZAMBUYA",NA,"GERARDO",NA,1978-09-20,3050,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"COLOMBO",NA,"FABIAN",NA,1973-06-28,3051,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"DE ARMAS","ARMAS","JORGE",NA,NA,3052,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"RODRIGUEZ",NA,"SINFOROSO",NA,1950-01-27,3053,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"ACOSTA",NA,"MARCELA",NA,NA,3054,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"NUÑEZ",NA,"GLICERINA",NA,NA,3055,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"RAMOS",NA,"MARCELO",NA,NA,3056,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"VAZQUEZ",NA,"DORINEL",NA,NA,3057,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"MANCUELLO",NA,"MARIA",NA,1971-07-28,3058,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"BORGES",NA,"GUSTAVO",NA,NA,3059,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"MACHIN",NA,"FABIANA",NA,NA,3061,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"PERCOVICH",NA,"ROBERTO",NA,1954-07-14,3062,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"BIANCHI",NA,"DARLINGTON",NA,1944-10-06,3063,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"ROQUERO",NA,"ALESANDRA",NA,1973-07-16,3064,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"ALVAREZ",NA,"DANIEL",NA,NA,3065,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"DELGADO",NA,"MARCELO",NA,NA,3066,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"RECARTE",NA,"ROSA",NA,1948-02-02,3068,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"SARALEGUY",NA,"OSVALDO",NA,1961-01-22,3069,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"HERNÀNDEZ",NA,"GUALBERTO",NA,NA,3070,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"SCASSO",NA,"MARIO",NA,1950-12-12,3071,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"RIJO",NA,"ALBA",NA,1942-11-24,3072,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"CURBELO",NA,"JOSE","LUIS",NA,3073,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"MILLAN",NA,"MARIE",NA,1957-11-07,3074,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"PERERA",NA,"CARLOS",NA,NA,3075,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"MARTINEZ",NA,"HUGO",NA,NA,3076,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"MENDEZ",NA,"CARLOS",NA,NA,3077,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"MIRANDA",NA,"ALBERTO",NA,NA,3078,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"GRAÑA",NA,"RENE",NA,NA,3079,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"FUENTES",NA,"CARLOS",NA,NA,3080,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"JAFIF",NA,"MARIO","ANDRES",1959-09-22,3081,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
