"primer_apellido","segundo_apellido","primer_nombre","segundo_nombre","id_politico","partido","fecha_inicio","fecha_fin","legislatura","cargo","status","circunscripcion","sexo","fuente","fecha_nac","fecha_inicio_l","fecha_fin_l","fecha_intermedia","ed_asumir_1","ed_asumir","edad_asumir","legislaturas_agrupadas"
"LORENZO",NA,"FERNANDO",NA,823,"Frente Amplio",2015-02-15,NA,48,"Diputado","Titular",NA,1,NA,1960-01-31,2015-02-15,2020-02-14,2017-08-15 12:00:00,NA,55,55,"1985-2020"
"LORENZO",NA,"FERNANDO",NA,823,"Frente Amplio",2010-03-01,2013-12-26,47,"Ministro Economia y Finanzas","Titular",NA,1,NA,1960-01-31,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,50,50,"1985-2020"
"LORENZO",NA,"IVONNE",NA,2698,"Frente Amplio",2010-03-01,NA,47,"Concejal","Titular","Canelones La Floresta",0,NA,1954-02-11,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,56,56,"1985-2020"
"LORENZO",NA,"CARLOS",NA,2762,"Frente Amplio",2010-03-01,NA,47,"Concejal","Titular","Maldonado San Carlos",1,NA,NA,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,NA,NA,"1985-2020"
"LORENZO",NA,"IVON",NA,2698,"Frente Amplio",2015-03-01,NA,48,"Alcalde","Titular","Canelones La Floresta",1,NA,1954-02-11,2015-02-15,2020-02-14,2017-08-15 12:00:00,NA,61,61,"1985-2020"
"LORENZO","Y DEAL","LUIS",NA,833,"Partido Colorado",1959-02-15,1963-02-14,38,"Concejal Departamental","Suplente","Montevideo",1,NA,NA,1959-02-15,1963-02-14,1961-02-14,NA,NA,NA,"1934-1973"
"LORIER",NA,"EDUARDO",NA,1907,"Frente Amplio",NA,NA,45,"Senador","Suplente",NA,1,NA,1952-09-10,2000-02-15,2005-02-14,2002-08-16,49,NA,49,"1985-2020"
"LORIER",NA,"EDUARDO",NA,1907,"Frente Amplio",2010-02-15,NA,47,"Senador","Titular",NA,1,NA,1952-09-10,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,57,57,"1985-2020"
"LOSADA",NA,"JOSE",NA,835,"Partido Nacional",1990-02-15,1995-02-14,43,"Diputado","Titular","Montevideo",1,NA,NA,1990-02-15,1995-02-14,1992-08-15 12:00:00,NA,NA,NA,"1985-2020"
"LOTITO",NA,"MARIA","ANGEL",2892,"Partido Nacional",2010-03-01,NA,47,"Concejal","Titular","Soriano Cardona",1,NA,NA,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,NA,NA,"1985-2020"
"LOZANO",NA,"RAUL",NA,777,"Cabildo Abierto",2020-02-15,NA,49,"Senador","Titular",NA,0,NA,1958-10-01,2020-02-15,2025-02-14,2022-08-16,NA,61,61,"1985-2020"
"LUCA",NA,"ALCIDES","F.",3549,"Partido Colorado",1938-06-19,1942-06-18,33,"Intendente","Titular","Cerro Largo",1,NA,NA,1938-05-24,1942-02-21,1940-04-07 12:00:00,NA,NA,NA,"1934-1973"
"LUCAS",NA,"LEONCIO",NA,1908,"Partido Nacional",NA,NA,40,"Diputado","Suplente","Montevideo",1,NA,NA,1967-02-15,1972-02-14,1969-08-15 12:00:00,NA,NA,NA,"1934-1973"
"LUCAS","GAFREE","FERNANDO",NA,3627,"Partido Nacional",1955-02-15,1959-02-14,37,"Concejal Departamental","Titular","Salto",1,NA,NA,1955-02-15,1959-02-03,1957-02-08 12:00:00,NA,NA,NA,"1934-1973"
"LUCIAN","CANZANI","HECTOR",NA,3667,"Partido Nacional",1959-02-15,1963-02-14,38,"Presidente del Concejo Departamental","Titular","Rocha",1,NA,NA,1959-02-15,1963-02-14,1961-02-14,NA,NA,NA,"1934-1973"
"LUCIANI",NA,"EMILIO","T.",3513,"Partido Colorado",1926-10-02,1932-02-23,29,"Consejero Departamental","Titular","Maldonado",1,NA,1898-09-19,1926-02-09,1929-01-28,1927-08-05,NA,28,28,"1902-1933"
"LUCKY",NA,"FRANCISCO",NA,1909,"Partido Colorado",NA,NA,40,"Diputado","Suplente","Montevideo",1,NA,NA,1967-02-15,1972-02-14,1969-08-15 12:00:00,NA,NA,NA,"1934-1973"
"REDES","REDES","JOSE","LUIS",2666,"Partido Nacional",2010-03-01,NA,47,"Concejal","Titular","Canelones Sauce",1,NA,1956-08-27,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,53,53,"1985-2020"
"CUELLO","CUELLO","JOSE","LUIS",2798,"Partido Nacional",2010-03-01,NA,47,"Concejal","Titular","Treinta y Tres Vergara",1,NA,NA,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,NA,NA,"1985-2020"
"LUIS","NUÑEZ","JOSE",NA,3252,"Partido Nacional",2015-03-01,NA,48,"Concejal","Titular","Florida Casupá",1,NA,NA,2015-02-15,2020-02-14,2017-08-15 12:00:00,NA,NA,NA,"1985-2020"
"LANGORTA","LANGORTA","JOSE","LUIS",3273,"Frente Amplio",2015-03-01,NA,48,"Concejal","Titular","Tacuarembo Paso de los Toros",1,NA,1953-10-08,2015-02-15,2020-02-14,2017-08-15 12:00:00,NA,61,61,"1985-2020"
"LUJAMBIO",NA,"LORENA",NA,2716,"Frente Amplio",2010-03-01,NA,47,"Concejal","Titular","Canelones Barros Blancos - Juan Artigas",0,NA,1975-03-04,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,34,34,"1985-2020"
"LUJAN",NA,"LUIS",NA,2605,"Frente Amplio",2010-03-01,NA,47,"Alcalde","Titular","Montevideo CH",1,NA,NA,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,NA,NA,"1985-2020"
"LUNA","DE PEREIRA","MARIA",NA,3422,"Movimiento Revolucionario Oriental",1962-11-25,1962-11-25,38,"Candidato Consejo Nacional de Gobierno",NA,NA,0,NA,NA,1959-02-15,1963-02-14,1961-02-14,NA,NA,NA,"1934-1973"
"LUSSICH",NA,"ARTURO",NA,836,"Partido Nacional",1905-02-15,1908-02-14,22,"Diputado","Titular","Montevideo",1,NA,1872-05-22,1905-03-09,1908-01-13,1906-08-11,NA,32,32,"1902-1933"
"LUSSICH",NA,"ARTURO",NA,836,"Partido Nacional",1917-02-15,1917-05-09,26,"Diputado","Titular","Lavalleja",1,NA,1872-05-22,1917-02-01,1920-02-14,1918-08-09,NA,44,44,"1902-1933"
"LUSSICH",NA,"ARTURO",NA,836,"Partido Nacional",1917-05-10,1920-02-14,26,"Diputado","Titular","Tacuarembo",1,NA,1872-05-22,1917-02-01,1920-02-14,1918-08-09,NA,44,44,"1902-1933"
"LUSSICH",NA,"ARTURO",NA,836,"Partido Nacional",1920-02-15,1923-02-14,27,"Diputado","Titular","Lavalleja",1,NA,1872-05-22,1920-02-09,1923-02-14,1921-08-12 12:00:00,NA,47,47,"1902-1933"
"LUSSICH",NA,"ARTURO",NA,836,"Partido Nacional",1923-02-15,1926-02-14,28,"Diputado","Titular","Durazno",1,NA,1872-05-22,1923-02-01,1926-02-12,1924-08-07 12:00:00,NA,50,50,"1902-1933"
"LUSSICH",NA,"ARTURO",NA,836,"Partido Nacional",1926-02-15,1927-03-15,29,"Diputado","Titular","Durazno",1,NA,1872-05-22,1926-02-09,1929-01-28,1927-08-05,NA,53,53,"1902-1933"
"LUSSICH",NA,"ARTURO",NA,836,"Partido Nacional Independiente",1943-02-15,1947-02-14,34,"Diputado","Titular","Lavalleja",1,NA,1872-05-22,1943-02-04,1947-02-10,1945-02-06 12:00:00,NA,70,70,"1934-1973"
"LUST",NA,"EDUARDO",NA,2285,"Cabildo Abierto",2020-02-15,NA,49,"Diputado","Titular","Montevideo",1,NA,1959-10-30,2020-02-15,2025-02-14,2022-08-16,NA,60,60,"1985-2020"
