primer_nombre,segundo_nombre,primer_apellido,segundo_apellido,id_politico,fecha_inicio,fecha_nac,fuente
CARLOS,M.,SORIN,NA,4435,1921-12-29,,
CARLOS,MARIA,BESENZONI,NA,1530,NA,,
CARLOS,MARIA,BROL,NA,2919,2010-03-01,1956-05-12,
CARLOS,MARIA,FRESIA,NA,564,1985-02-15,,
CARLOS,MARIA,JOANICO,NA,739,1926-02-15,,
CARLOS,MARIA,PERICHON,NA,1060,1937-11-15,,
CARLOS,MARIA,PRINCIVALE,NA,1112,1938-06-01,1887-11-04,
CARLOS,MARIA,SORIN,NA,4435,1926-02-12,,
CARLOS,T.,GAMBA,NA,1774,NA,1883-06-04,
CARLOS,NA,ALBIN,NA,25,1917-02-15,,
CARLOS,NA,AMEGLIO,NA,51,1917-02-15,,
CARLOS,NA,ARRAGA,NA,107,1959-02-15,,
CARLOS,NA,AUNCHAYNA,NA,2962,2010-03-01,1962-07-11,
CARLOS,NA,BELLINI,HERNANDEZ,185,1926-02-15,,
CARLOS,NA,BICA,NA,210,1909-02-16,1881-09-05,
CARLOS,NA,BRUNETTO,NA,3532,1989-11-26,1955-10-13,
CARLOS,NA,BUTLER,NA,255,1938-05-25,1879,1
CARLOS,NA,CAMELO,NA,4111,2010-03-01,1985-05-21,
CARLOS,NA,CAT,NA,2556,2000-03-01,1930-06-02,
CARLOS,NA,CHRISTIANSEN,NA,337,2005-02-15,1967-08-23,
CARLOS,NA,CLULOW,NA,3562,1962-11-25,1907,1
CARLOS,NA,COLACCE,NA,2590,2008-03-03,1960-06-16,
CARLOS,NA,COLISTRO,NA,343,1926-02-15,1881,1
CARLOS,NA,CORDOBA,NA,3017,2010-03-01,1964-02-04,
CARLOS,NA,DE MEDINA,MEDINA,3774,1943-02-15,,
CARLOS,NA,DELPIAZZO,NA,437,1998-11-06,1951-09-13,
CARLOS,NA,DEMICHELIS,NA,440,1956-11-06,1910-02-19,
CARLOS,NA,FABRICIO,NA,2860,2010-03-01,1964-04-16,
CARLOS,NA,FAGETTI,NA,503,1990-07-05,1928-04-30,
CARLOS,NA,FERRUA,NA,3091,2015-03-01,1952-03-31,
CARLOS,NA,FIELITZ,NA,2498,1953-11-30,,
