"","primer_apellido","segundo_apellido","primer_nombre","segundo_nombre","partido","legislatura"
"205","ALMADA",NA,"AMADEO",NA,"Partido Colorado",26
"206","ALMADA",NA,"AMADEO",NA,"Partido Colorado",32
"207","ALMAGRO",NA,"LUIS",NA,"Frente Amplio",48
"208","ALMAGRO",NA,"LUIS",NA,"Frente Amplio",47
"209","ALMEIDA",NA,"MILTON",NA,"Partido Nacional",48
"210","ALMEIDA",NA,"YOLANDA",NA,"Partido Nacional",48
"211","ALONSO",NA,"JUSTO","M.","Partido Nacional",32
"212","ALONSO",NA,"JUSTO","M.","Partido Nacional",38
"213","ALONSO","MARTINEZ","ALCIDES",NA,"Partido Nacional",41
"214","ALONSO","MONTAÑO","CESAREO",NA,"Partido Nacional",31
"215","ALONSO","MONTAÑO","CESAREO",NA,"Partido Nacional",32
"216","ALONSO","MONTAÑO","CESAREO",NA,"Partido Nacional",33
"217","ALONSO","MONTAÑO","CESAREO",NA,"Partido Nacional",35
"218","ALONSO","Y TRELLES","JOSE",NA,"Partido Colorado",23
"219","ALONSO",NA,"NELSON",NA,"Partido Colorado",40
"220","ALONSO",NA,"NELSON",NA,"Frente Amplio",42
"221","ALONSO",NA,"NELSON",NA,"Partido por el Gobierno del Pueblo",43
"222","ALONSO","TELECHEA","ALVARO",NA,"Partido Nacional",43
"223","ALONSO","TELECHEA","ALVARO",NA,"Partido Nacional",44
"224","ALONSO","TELECHEA","ALVARO",NA,"Partido Nacional",45
"225","ALONSO","TELECHEA","ALVARO",NA,"Partido Nacional",46
"226","ALONSO",NA,"VERONICA",NA,"Partido Nacional",47
"227","ALONSO",NA,"VERONICA",NA,"Partido Nacional",48
"228","ALONSO",NA,"ALVARO",NA,"Partido Nacional",45
"229","ALONSO",NA,"MARCELO",NA,"Partido Nacional",48
"230","ALONSO",NA,"JUSTO",NA,"Partido Nacional",36
"231","ALONSO",NA,"JUSTO",NA,"Partido Nacional",38
"232","ALONSO",NA,"JUSTO",NA,"Partido Nacional",37
"233","ALOY",NA,"CARTAUL",NA,"Partido Nacional",39
"234","ALPUY",NA,"NELSON",NA,"Partido Frente Amplio",48
"235","ALTESOR",NA,"ALBERTO",NA,"Partido Comunista del Uruguay",39
"236","ALTESOR",NA,"ALBERTO",NA,"Partido Comunista del Uruguay",40
"237","ALVAREZ",NA,"AGAPITO",NA,"Partido Nacional",43
"238","ALVAREZ","CAIMI","AURELIO",NA,"Partido Colorado",37
"239","ALVAREZ","CTALA","CARLOS",NA,"Partido Colorado",33
"240","ALVAREZ","DE DEMICHELIS","SOFIA",NA,"Partido Colorado",34
"241","ALVAREZ","DE RON","DICK",NA,"Frente Amplio",45
"242","ALVAREZ",NA,"GUILLERMO",NA,"Frente Amplio",42
"243","ALVAREZ",NA,"GUILLERMO",NA,"Frente Amplio",43
"244","ALVAREZ",NA,"GUILLERMO",NA,"Frente Amplio",44
"245","ALVAREZ",NA,"GUILLERMO",NA,"Frente Amplio",45
"246","ALVAREZ","MENENDEZ","VICTOR",NA,"Partido Colorado",34
"247","ALVAREZ","CINA","HECTOR",NA,"Partido Colorado",34
"248","ALVAREZ","CINA","HECTOR",NA,"Partido Colorado",35
"249","ALVAREZ","CINA","HECTOR",NA,"Partido Colorado",36
"250","ALVAREZ","CORTES","JUAN",NA,"Partido Colorado",28
"251","ALVAREZ",NA,"GONZALO",NA,"Partido Frente Amplio",47
"252","ALVAREZ",NA,"RUBEN",NA,"Partido Nacional",47
"253","ALVAREZ",NA,"MARY",NA,"Partido Nacional",47
"254","ALVAREZ",NA,"CESAR",NA,"Partido Nacional",47
"255","ALVAREZ",NA,"JORGE",NA,"Partido Frente Amplio",48
"256","ALVAREZ",NA,"MIGUEL",NA,"Partido Frente Amplio",48
"257","ALVAREZ",NA,"DANIEL",NA,"Partido Colorado",48
"258","ALVAREZ",NA,"NESTOR",NA,"Partido Nacional",48
"259","ALVAREZ",NA,"ARTIGAS",NA,"Partido Nacional",48
"260","ALVAREZ",NA,"RICHARD",NA,"Partido Ecologista Radical Intransigene",47
"261","ALVAREZ",NA,"ADHEMAR",NA,"Partido Republicano",43
"262","ALVAREZ","VARELA","",NA,"Movimiento Justiciero",40
"263","ALVAREZ",NA,"ELIAS","MANUEL","Partido Nacional",29
"264","ALVAREZ","SILVA","RAMON",NA,"Partido Nacional",31
"265","ALVAREZ",NA,"JUAN","C.","Partido Nacional",39
"266","ALVEAR",NA,"JORGE",NA,"Partido Colorado",49
"267","ALVES",NA,"CIRINO",NA,"Partido Colorado",21
"268","ALVES",NA,"VICTOR",NA,"Partido Frente Amplio",48
"269","ALVEZ",NA,"RICARDO",NA,"Partido Colorado",47
"270","ALZA",NA,"SANTANA",NA,"Partido Colorado",27
"271","ALZAIBAR",NA,"CECILIO","L.","Partido Nacional",39
"272","ALZAMENDI",NA,"RAUL",NA,"Partido Nacional",48
"273","ALZAMORA",NA,"JUAN","G.","Partido Nacional",31
"274","ALZAMORA",NA,"JUAN","G.","Partido Nacional",29
"275","ALZATI",NA,"ASDRUBAL",NA,"Partido Nacional",40
"276","ALZOGARAY",NA,"HECTOR",NA,"Partido Nacional",38
"277","ALZUGARAY",NA,"ROSARIO",NA,"Partido Frente Amplio",48
"278","AMADO",NA,"FERNANDO",NA,"Partido Colorado",47
"279","AMADO",NA,"FERNANDO",NA,"Partido Colorado",48
"280","AMADO",NA,"FERNAN",NA,NA,22
"281","AMARAL",NA,"MARIO","ALBERTO","Partido Nacional",42
"282","AMARAL",NA,"MARIO",NA,"Partido Nacional",39
"283","AMARAL",NA,"MARIO",NA,"Partido Nacional",41
"284","AMARAL",NA,"GERARDO",NA,"Frente Amplio",46
"285","AMARGOS",NA,"JOSE","RODOLFO","Partido Colorado",28
"286","AMARGOS",NA,"JOSE","RODOLFO","Partido Colorado",29
"287","AMARILLA",NA,"GERARDO",NA,"Partido Nacional",47
"288","AMARILLA",NA,"GERARDO",NA,"Partido Nacional",48
"289","AMARILLA",NA,"GERARDO",NA,"Partido Nacional",49
"290","AMARILLO",NA,"GLADYS",NA,"Partido Nacional",47
"291","AMARO","CEDRES","JUAN",NA,"Partido Colorado",43
"292","AMARO","CEDRES","JUAN",NA,"Partido Colorado",45
"293","AMARO","MACEDO","OLAVO",NA,"Partido Nacional",26
"294","AMARO","MACEDO","OLAVO",NA,"Partido Nacional",27
"295","AMARO","MACEDO","OLAVO",NA,"Partido Nacional",28
"296","AMARO",NA,"JUAN","JUSTO","Partido Colorado",41
"297","AMARO",NA,"JUAN","JUSTO","Partido Colorado",42
"298","AMARO",NA,"JUAN","JUSTO","Partido Colorado",43
"299","AMARO",NA,"JUAN","JUSTO","Partido Colorado",46
"300","AMARO",NA,"DARIO",NA,"Partido Nacional",47
"301","AMARO",NA,"DARIO",NA,"Partido Nacional",48
"302","AMARO",NA,"JUAN","JUSTO","Partido Colorado",44
"303","AMBROSONI",NA,"PEDRO",NA,"Partido Colorado",29
"304","AMED",NA,"ANGELITA",NA,"Partido Nacional",45
"305","AMED",NA,"DANIELA",NA,"Partido Nacional",48
"306","AMEGLIO",NA,"CARLOS",NA,"Partido Colorado",26
"307","AMEN","PISANI","ABAYUBA",NA,"Partido Colorado",37
"308","AMEN","PISANI","ABAYUBA",NA,"Partido Colorado",42
"309","AMEN","VAGHETTI","GUSTAVO",NA,"Partido Colorado",44
"310","AMEN","VAGHETTI","GUSTAVO",NA,"Partido Colorado",45
"311","AMESTOY","DE MOCHO","JUANA",NA,"Partido Colorado",35
"312","AMESTOY","DE MOCHO","JUANA",NA,"Partido Colorado",36
"313","AMESTOY",NA,"MARIO",NA,"Partido Nacional",45
"314","AMESTOY",NA,"JUAN","PEDRO","Partido Colorado",40
"315","AMESTOY",NA,"MARIO",NA,"Partido Nacional",43
"316","AMESTOY",NA,"ELENA",NA,"Partido Obrero Revolucionario",37
"317","AMEZAGA",NA,"JUAN","JOSE","Partido Colorado",34
"318","AMIGHETTI",NA,"SIMON",NA,"Partido Colorado",26
"319","AMIGHETTI",NA,"SIMON",NA,"Partido Colorado",27
"320","AMIGHETTI",NA,"SIMON",NA,"Partido Colorado",28
"321","AMIGHETTI",NA,"SIMON",NA,"Partido Colorado",29
"322","AMIGHETTI",NA,"SIMON",NA,"Partido Colorado",30
"323","AMIGHETTI",NA,"SIMON",NA,"Partido Colorado",31
"324","AMIGHETTI",NA,"SIMON",NA,"Partido Colorado",34
"325","AMILIVIA",NA,"SOLANO",NA,"Partido Colorado",36
"326","AMILIVIA",NA,"HECTOR",NA,"Union Popular",38
"327","AMONDERAIN",NA,"PEDRO",NA,"Partido Nacional",33
"328","AMONTE",NA,"ANALIO",NA,"Partido Nacional",40
"329","AMONTE",NA,"ANALIO",NA,"Partido Nacional",39
"330","AMORIM",NA,"PELAYO",NA,"Partido Colorado",47
"331","AMORIN","LARRAÑAGA","ERNESTO",NA,"Partido Nacional",40
"332","AMORIN","LARRAÑAGA","ERNESTO",NA,"Partido Nacional",41
"333","AMORIN","LARRAÑAGA","ERNESTO",NA,"Partido Nacional",42
"334","AMORIN","LARRAÑAGA","ERNESTO",NA,"Partido Nacional",43
"335","AMORIN","SANCHEZ","FELIPE",NA,"Partido Nacional",33
"336","AMORIN","SANCHEZ","FELIPE",NA,"Partido Nacional",34
"337","AMORIN","SANCHEZ","FELIPE",NA,"Partido Nacional",35
