primer_nombre,segundo_nombre,primer_apellido,segundo_apellido,id_politico,fecha_inicio,fecha_nac,fuente
AMBROSIO,NA,MIRANDA,NA,934,1914-02-15,,
AMBROSIO,NA,RODRIGUEZ,NA,2091,NA,,
AMELIA,NA,DUTRA,NA,3170,2015-03-01,,
AMELIO,L.,FRAGA,NA,573,NA,1894-03-13,
AMERICO,NA,GARCIA,NA,1799,NA,,
AMERICO,NA,RICALDONI,NA,1184,1995-02-15,1930-11-03,
AMILCAR,NA,CORDONES,NA,367,1985-09-16,1927-10-05,
AMILCAR,NA,PRIETO,NA,3497,1926-10-02,,
AMILCAR,NA,VASCONCELLOS,NA,2238,1971-11-28,1915-09-22,
ANA,MARIA,BENTABERRI,NA,3791,NA,1966-03-30,
ANA,MARIA,CARVALHO,NA,3148,2015-03-01,,
ANA,MARIA,GOMEZ,NA,1819,NA,,
ANA,MARIA,MARTINEZ,NA,1927,NA,,
ANA,MARIA,OLIVERA,NA,4004,2010-07-08,1953-12-17,
ANA,MARIA,RUGGIA,NA,1230,1997-09-15,1935-02-19,
ANA,NA,AROCHA,NA,110,NA,,
ANA,NA,AYALA,NA,2806,2010-03-01,,
ANA,NA,CARDOZO,NA,3011,2015-03-01,,
ANA,NA,LOPEZ,GARIGLIO,1897,NA,1945-07-09,
ANA,NA,OLIVERA,NA,4004,2020-02-15,1953-12-17,
ANA,NA,PEREZ,NA,2680,2010-03-01,,
ANASTASIO,NA,MARTINEZ,NA,872,1920-02-15,,
ANDREA,NA,BRUGMAN,NA,3779,2020-02-10,1974-10-25,
ANDRES,P.,MATA,NA,894,NA,,
ANDRES,PABLO,LIMA,PROSERPIO,3950,NA,,
ANDRES,NA,AROCENA,NOCETTI,3812,2001-02-15,1935-05-14,
ANDRES,NA,AROCENA,NA,3812,NA,1935-05-14,
ANDRES,NA,FOLLE,ILLA,3439,1958-11-30,,
ANDRES,NA,GALLINAL,NA,602,1996-09-21,1949-02-23,
ANDRES,NA,GARCIA,NA,2660,2010-03-01,,
ANDRES,NA,LIMA,NA,3950,2015-02-15,,
ANDRES,NA,MARTINEZ,GARCIA,3973,1963-02-19,,
ANDRES,NA,MARTINEZ,TRUEBA,3979,1958-11-30,1884-02-11,
ANDRES,NA,ORIBE,NA,1984,NA,1933-09-09,
ANDRES,NA,ROMERO,NA,1203,1945-11-06,,
ANDRES,NA,SAAVEDRA,NA,1236,1917-02-15,,
ANDRES,NA,SOORA,NA,1324,NA,,
ANGEL,ALBERTO,MORENO,NA,1960,NA,,
ANGEL,E.,RIANI,NA,3638,1959-02-15,,
ANGEL,F.,FERRARI,NA,3592,1955-02-15,1904-07-18,1
ANGEL,FLORO,COSTA,NA,378,1905-02-15,1838-08-18,
ANGEL,J.,ARECO,NA,3650,1959-02-15,,
ANGEL,L.,DUFOUR,NA,475,1920-02-15,,
ANGEL,M.,NUÑEZ,COLL,4002,1964-03-01,1911-09-11,
ANGEL,MARIA,RIVERO,NA,3478,1926-02-13,,
ANGEL,NA,DE LA FUENTE,LA FUENTE,418,1929-03-08,,
ANGEL,NA,FERMIN,FERRARI,3648,1959-02-15,1904-07-18,1
ANGEL,NA,MARTINEZ,NA,873,1915-03-08,,
ANGEL,NA,MORATORIO,NA,952,1904-10-24,,
ANGEL,NA,NUÑEZ,AYCAGUER,4001,1943-02-24,,
ANGEL,NA,NUÑEZ,AYCAGUER,4002,1926-02-13,,
ANGEL,NA,PERDOMO,NA,2776,2015-03-01,,
ANGEL,NA,ROCHA,NA,2721,2010-03-01,,
ANGEL,NA,RODRIGUEZ,NA,2092,NA,,
ANGEL,NA,SEOANE,MACHADO,1296,1965-03-11,,
ANGEL,NA,SERVETTI,ARES,2511,1972-10-31,1932-12-11,
ANGEL,NA,SOCA,NA,2721,2010-03-01,,
ANGELA,NA,BERMOLEN,NA,3037,2015-03-01,1952-09-01,
ANGELA,NA,VISCONTI,NA,1434,1958-06-25,,
ANGELES,NA,BALPARDA,NA,1510,NA,1953-04-03,
ANGELITA,NA,AMED,NA,1475,NA,1931-08-16,
ANIBAL,NA,FLORES,NA,2747,2010-03-01,,
ANIBAL,NA,PEREIRA,NA,1065,2005-02-15,1966-11-07,
ANIBAL,NA,PEREYRA,HUELMO,4019,NA,1966-11-07,
ANIBAL,NA,PEREYRA,NA,4019,2015-02-15,1966-11-07,
ANIBAL,NA,RODRIGUEZ,NA,2092,2010-03-01,,
ANIBAL,NA,SEMBLAT,NA,2160,NA,1856-08-10,
ANICETO,NA,PATRON,NA,1047,1935-03-14,,
ANILDO,NA,MONTERO,NA,2842,2010-03-01,1945-11-05,
ANTENOR,NA,OLIVERA,LUNA,3482,1926-02-13,,
ANTENOR,NA,VERA,NA,3394,1962-11-25,,
ANTONIO,G.,GOSO,NA,682,1902-02-15,,
ANTONIO,J.,RODRIGUEZ,NA,4045,1938-05-25,,
ANTONIO,M.,DURAN,RUBIO,1731,NA,,
ANTONIO,M.,FERNANDEZ,NA,527,1955-02-15,,
ANTONIO,MARIA,RODRIGUEZ,NA,4053,NA,,
ANTONIO,UBALDO,HERNANDEZ,NA,722,1967-02-15,,
ANTONIO,NA,ACHE,NA,1457,NA,,
ANTONIO,NA,BORRAS,NA,239,1917-02-15,,
ANTONIO,NA,CABRAL,NA,268,1907-12-02,,
ANTONIO,NA,CARAMBULA,NA,3554,1938-06-19,,
ANTONIO,NA,CARVALHO,LERENA,312,1905-02-25,,
ANTONIO,NA,CHIESA,BRUNO,3870,2010-02-15,1953-07-26,
ANTONIO,NA,CHIESA,NA,3870,1963-02-15,,
ANTONIO,NA,CORREA,NA,239,2010-03-01,,
ANTONIO,NA,DELGADO,NA,446,NA,,
ANTONIO,NA,FADOL,NA,3372,1962-11-25,,
ANTONIO,NA,FALCO,NA,519,1911-06-16,,
ANTONIO,NA,FERNANDEZ,H,527,1920-02-20,,
ANTONIO,NA,FERNANDEZ,NA,527,1958-11-30,,
ANTONIO,NA,GONZALEZ,NA,2894,2010-03-01,,
ANTONIO,NA,GUERRA,NA,699,1995-02-15,,
ANTONIO,NA,HENDERSON,NA,2850,2010-03-01,1960-01-17,
ANTONIO,NA,LOPEZ,HODGSON,1899,NA,1951-03-28,
