,nombre,fecha_nac,cargo,partido,status,inicio,fin,primer_apellido,segundo_apellido,primer_nombre,segundo_nombre,sexo,legislatura,fecha_inicio_l,fecha_fin_l,legislaturas_agrupadas
47,"ELOLA IZETA, FRANCISCO GASTON",1956-10-04,Diputado,Partido Nacional,Suplente,2015,2015,ELOLA,IZETA,FRANCISCO,GASTON,1,48,2015-02-15,2020-02-14,1985-2020
48,"ENCISO CHRISTIANSEN, CARLOS FERNANDO",1967-08-23,Diputado,Partido Nacional,Titular,2020,2020,ENCISO,CHRISTIANSEN,CARLOS,FERNANDO,1,48,2015-02-15,2020-02-14,1985-2020
48,"ENCISO CHRISTIANSEN, CARLOS FERNANDO",1967-08-23,Senador,Partido Nacional,Titular,2015,2015,ENCISO,CHRISTIANSEN,CARLOS,FERNANDO,1,48,2015-02-15,2020-02-14,1985-2020
49,"ESTEVES GARCIA, DANIEL",1953-04-22,Diputado,Frente Amplio,Suplente,2015,2016,ESTEVES,GARCIA,DANIEL,,1,48,2015-02-15,2020-02-14,1985-2020
50,"ESTRADA HAREAU, IGNACIO",1977-08-09,Diputado,Partido Nacional,Suplente,2015,2019,ESTRADA,HAREAU,IGNACIO,,1,48,2015-02-15,2020-02-14,1985-2020
51,"EZQUERRA ALONSO, WILSON SHASIR APARICIO",1979-01-23,Diputado,Partido Nacional,Titular,2015,2020,EZQUERRA,ALONSO,WILSON,SHASIR,1,48,2015-02-15,2020-02-14,1985-2020
52,"FACELLO GERMANO, GUILLERMO RUBEN",1953-09-08,Diputado,Partido Colorado,Titular,2015,2020,FACELLO,GERMANO,GUILLERMO,RUBEN,1,48,2015-02-15,2020-02-14,1985-2020
53,"FAGUNDEZ GARCIA, MARIA ROSARIO",1966-02-12,Diputado,Partido Independiente,Suplente,2015,2018,FAGUNDEZ,GARCIA,MARIA,ROSARIO,0,48,2015-02-15,2020-02-14,1985-2020
54,"FALERO BERTOLA, JOSE LUIS",1966-05-19,Senador,Partido Nacional,Titular,2020,2020,FALERO,BERTOLA,JOSE,LUIS,1,48,2015-02-15,2020-02-14,1985-2020
54,"FALERO BERTOLA, JOSE LUIS",1966-05-19,Senador,Partido Nacional,Suplente,2015,2015,FALERO,BERTOLA,JOSE,LUIS,1,48,2015-02-15,2020-02-14,1985-2020
55,"FERNANDEZ FERREIRA, DIVER RAMON",1950-11-25,Diputado,Partido Colorado,Suplente,2017,2019,FERNANDEZ,FERREIRA,DIVER,RAMON,1,48,2015-02-15,2020-02-14,1985-2020
56,"FERNANDEZ PUIG, IRIS NADINA",1950-01-04,Diputado,Frente Amplio,Suplente,2015,2015,FERNANDEZ,PUIG,IRIS,NADINA,0,48,2015-02-15,2020-02-14,1985-2020
57,"FERNANDEZ ZAPATER, JOHAN CARLOS",1987-09-07,Diputado,Frente Amplio,Suplente,2015,2019,FERNANDEZ,ZAPATER,JOHAN,CARLOS,1,48,2015-02-15,2020-02-14,1985-2020
58,"FERRARI CARBALLO, GLETEL BAINER",1955-12-23,Diputado,Partido Nacional,Suplente,2017,2018,FERRARI,CARBALLO,GLETEL,BAINER,0,48,2015-02-15,2020-02-14,1985-2020
