"primer_apellido","segundo_apellido","primer_nombre","segundo_nombre","id_politico","partido","inicio","fin","legislatura","cargo","status","circunscripcion","sexo","fecha_nac","fecha_inicio_l","fecha_fin_l","fecha_intermedia","ed_asumir_1","ed_asumir","edad_asumir","agregado","legislaturas_agrupadas"
"PEDREIRA","ALJAS-AISSI","ROBERTO","GUZMAN",4707,"Frente Amplio",2010,2015,47,"Diputado","Titular",NA,1,"1970-07-10","2010-02-15","2015-02-14","2012-08-15",NA,39,39,1,"1985-2020"
"PENA","FERNANDEZ","DANIEL","ADRIAN",4561,"Partido Nacional",2010,2015,47,"Diputado","Titular",NA,1,"1972-12-21","2010-02-15","2015-02-14","2012-08-15",NA,37,37,1,"1985-2020"
"PEREZ","BILINSKI","ESTEBAN","ANDRES",4579,"Frente Amplio",2010,2013,47,"Diputado","Titular",NA,1,"1950-08-13","2010-02-15","2015-02-14","2012-08-15",NA,59,59,1,"1985-2020"
"PEREZ","GONZALEZ","PABLO","NEKLINDOR",4693,"Frente Amplio",2010,2015,47,"Diputado","Titular",NA,1,"1948-02-09","2010-02-15","2015-02-14","2012-08-15",NA,62,62,1,"1985-2020"
"SOUZA","DE","JUAN","CARLOS",4630,"Frente Amplio",2010,2015,47,"Diputado","Titular",NA,1,"1955-01-28","2010-02-15","2015-02-14","2012-08-15",NA,55,55,1,"1985-2020"
"AYALA","SANCHEZ","ANA","PATRICIA",4533,"Frente Amplio",2010,2010,47,"Diputado","Titular",NA,0,"1966-08-25","2010-02-15","2015-02-14","2012-08-15",NA,43,43,1,"1985-2020"
"CANTERO","PIALI","EDGAR","FITZGERALD",4569,"Partido Colorado",2010,2015,47,"Diputado","Titular",NA,1,"1978-01-31","2010-02-15","2015-02-14","2012-08-15",NA,32,32,1,"1985-2020"
"ABREU","BONILLA","SERGIO",NA,6,"Partido Nacional",2010,2015,47,"Senador","Titular",NA,1,"1945-11-12","2010-02-15","2015-02-14","2012-08-15",NA,64,64,0,"1985-2020"
"AGAZZI","SARASOLA","ERNESTO",NA,14,"Frente Amplio",2010,2015,47,"Senador","Titular",NA,1,"1942-09-04","2010-02-15","2015-02-14","2012-08-15",NA,67,67,0,"1985-2020"
"CHIRUCHI","FUENTES","JUAN","ANTONIO",3875,"Partido Nacional",2010,2015,47,"Senador","Titular",NA,1,"1947-10-21","2010-02-15","2015-02-14","2012-08-15",NA,62,62,0,"1985-2020"
"COURIEL","CURIEL","ALBERTO",NA,385,"Frente Amplio",2010,2015,47,"Senador","Titular",NA,1,"1935-08-22","2010-02-15","2015-02-14","2012-08-15",NA,74,74,0,"1985-2020"
"CHIRUCHI","FUENTES","JUAN","ANTONIO",3875,"Partido Nacional",2005,2005,46,"Senador","Titular",NA,1,"1947-10-21","2005-02-15","2010-02-14","2007-08-16",NA,57,57,0,"1985-2025"
"DA ROSA VAZQUEZ","VAZQUEZ","EBER",NA,398,"Partido Nacional",2010,2015,47,"Senador","Titular",NA,1,"1956-07-02","2010-02-15","2015-02-14","2012-08-15",NA,53,53,0,"1985-2020"
"DALMAS GARCEN",NA,"SUSANA","ELIDA",1698,"Frente Amplio",2010,2012,47,"Senador","Titular",NA,0,"1948-07-16","2010-02-15","2015-02-14","2012-08-15",NA,61,61,0,"1985-2020"
"ENCISO","CHRISTIANSEN","CARLOS","FERNANDO",3888,"Partido Nacional",2015,2015,47,"Senador","Suplente",NA,1,"1967-08-23","2010-02-15","2015-02-14","2012-08-15",NA,42,42,0,"1985-2020"
"FERNANDEZ","HUIDOBRO","ELEUTERIO",NA,531,"Frente Amplio",2010,2011,47,"Senador","Titular",NA,1,"1942-03-14","2010-02-15","2015-02-14","2012-08-15",NA,67,67,0,"1985-2020"
"GALLINAL","NIETO","FRANCISCO","GUSTAVO APARICIO",3910,"Partido Nacional",2010,2015,47,"Senador","Titular",NA,1,"1957-05-10","2010-02-15","2015-02-14","2012-08-15",NA,52,52,0,"1985-2020"
